CRM_ATPT_CPTD_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,18-24,WHITE HISPANIC,M
ATTEMPTED,FELONY,ROBBERY,"ROBBERY,LICENSED FOR HIRE VEHICLE",STREET,<18,BLACK,M,18-24,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,18-24,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,WHITE,F,65+,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,ASIAN/PAC.ISL,F,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,18-24,BLACK,F,18-24,WHITE HISPANIC,M
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",STREET,18-24,BLACK,M,18-24,BLACK HISPANIC,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM AUTO",STREET,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,25-44,BLACK,M,25-44,AMER IND,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",TRANSIT - NYC SUBWAY,18-24,WHITE HISPANIC,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,45-64,ASIAN/PAC.ISL,M,18-24,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,F,18-24,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,45-64,ASIAN/PAC.ISL,M,45-64,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,TRANSIT - NYC SUBWAY,25-44,WHITE HISPANIC,M,45-64,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,18-24,BLACK HISPANIC,F,45-64,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,25-44,BLACK,F,45-64,BLACK,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,25-44,BLACK,F
ATTEMPTED,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,<18,BLACK,M,25-44,BLACK,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE",STREET,25-44,BLACK,M,<18,BLACK,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,FELONY,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 2,1,POSSESSION",STREET,<18,BLACK HISPANIC,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,25-44,WHITE,M,25-44,WHITE,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,18-24,ASIAN/PAC.ISL,M,18-24,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,<18,BLACK,F,<18,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,ASIAN/PAC.ISL,M,45-64,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",STREET,25-44,BLACK,F,<18,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,18-24,BLACK,F,18-24,BLACK,M
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",RESIDENCE - APT. HOUSE,18-24,WHITE,M,25-44,WHITE,F
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMMERCIAL BUILDING,25-44,ASIAN/PAC.ISL,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",GROCERY/BODEGA,25-44,WHITE HISPANIC,M,45-64,BLACK,F
ATTEMPTED,FELONY,ROBBERY,"ROBBERY,DELIVERY PERSON",RESIDENCE-HOUSE,18-24,BLACK,M,25-44,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,45-64,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,45-64,BLACK,F,45-64,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,45-64,WHITE,F,45-64,WHITE,M
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM EATERY, UNATTENDED",CHAIN STORE,<18,BLACK,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - PUBLIC HOUSING,18-24,BLACK,F,18-24,WHITE HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",OTHER,45-64,BLACK,M,25-44,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",OTHER,25-44,BLACK,M,18-24,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,M
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - PUBLIC HOUSING,65+,BLACK,M,45-64,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,25-44,WHITE,M,45-64,WHITE,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,WHITE,M,25-44,WHITE,F
COMPLETED,FELONY,KIDNAPPING,LURING A CHILD,PARK/PLAYGROUND,25-44,WHITE HISPANIC,M,<18,BLACK,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,WHITE,F,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,"IMPERSONATION 1, POLICE OFFICE",STREET,18-24,WHITE HISPANIC,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",STREET,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,45-64,BLACK,M,45-64,BLACK,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT BY ACQUIRING LOS",COMMERCIAL BUILDING,45-64,WHITE HISPANIC,M,45-64,ASIAN/PAC.ISL,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,25-44,BLACK,M,<18,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",STREET,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",STREET,25-44,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",DRUG STORE,18-24,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,GROCERY/BODEGA,<18,BLACK,F,<18,BLACK,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",CHAIN STORE,45-64,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",RESIDENCE - APT. HOUSE,45-64,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",COMMERCIAL BUILDING,18-24,BLACK,M,25-44,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,18-24,WHITE HISPANIC,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,45-64,BLACK,M,25-44,WHITE,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - PUBLIC HOUSING,<18,BLACK HISPANIC,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,<18,BLACK,M,45-64,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",STREET,25-44,BLACK,M,45-64,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,CANDY STORE,18-24,BLACK,M,18-24,WHITE HISPANIC,M
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMMERCIAL BUILDING,25-44,BLACK,F,25-44,BLACK,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,BEAUTY & NAIL SALON,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,65+,BLACK,F,65+,BLACK,M
ATTEMPTED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",STREET,25-44,BLACK,M,<18,BLACK,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,F,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,F,45-64,BLACK,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE",RESIDENCE - APT. HOUSE,25-44,BLACK,M,<18,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,OTHER,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,18-24,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,F,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,18-24,BLACK,F,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,65+,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",BOOK/CARD,25-44,WHITE,M,25-44,BLACK,F
COMPLETED,VIOLATION,MISCELLANEOUS PENAL LAW,"TRESPASS 4,CRIMINAL SUB 2",OTHER,25-44,WHITE,M,45-64,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,65+,WHITE HISPANIC,M,25-44,WHITE,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",STREET,25-44,WHITE,M,65+,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,45-64,WHITE HISPANIC,M,25-44,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,<18,WHITE HISPANIC,F,<18,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,18-24,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,BLACK HISPANIC,M,45-64,BLACK HISPANIC,M
COMPLETED,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,45-64,WHITE HISPANIC,F,65+,WHITE HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,25-44,ASIAN/PAC.ISL,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",PARK/PLAYGROUND,25-44,BLACK,F,45-64,BLACK,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - APT. HOUSE,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",STREET,45-64,WHITE,M,65+,WHITE,M
COMPLETED,FELONY,FELONY ASSAULT,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,RESIDENCE - APT. HOUSE,25-44,BLACK,M,18-24,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,OTHER,45-64,BLACK,M,45-64,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,25-44,ASIAN/PAC.ISL,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,"CONTEMPT,CRIMINAL",STREET,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,25-44,BLACK,M,45-64,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",PUBLIC BUILDING,<18,WHITE HISPANIC,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,OTHER,45-64,WHITE,M,25-44,WHITE,F
ATTEMPTED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",STREET,45-64,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - APT. HOUSE,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",RESIDENCE - PUBLIC HOUSING,45-64,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",SMALL MERCHANT,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,SMALL MERCHANT,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",SMALL MERCHANT,25-44,BLACK,M,<18,WHITE HISPANIC,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",SMALL MERCHANT,25-44,BLACK,M,45-64,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",DEPARTMENT STORE,45-64,BLACK,F,65+,BLACK HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,BLACK,M,45-64,BLACK,F
